"281470729153731","281470729153731","RES","DE","Germany","Nordrhein-Westfalen","Koeln","Telefonica Germany GmbH & Co. OHG","telefonica.de","ISP/MOB","6805","Telefonica Germany GmbH & Co.OHG","15","-","-","46"
"281470729405492","281470729405492","RES","DE","Germany","Bayern","Munich","Telefonica Germany GmbH & Co. OHG","telefonica.de","ISP/MOB","6805","Telefonica Germany GmbH & Co.OHG","2","-","-","59"
"281470729539122","281470729539122","RES","GB","United Kingdom of Great Britain and Northern Ireland","Scotland","Glasgow","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","23","-","-","38"
"281470729639483","281470729639483","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","23","-","-","38"
"281470729755844","281470729755844","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Cambridge","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","12","-","-","49"
"281470729867769","281470729867769","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","22","-","-","39"
"281470729974778","281470729974778","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","13","-","-","48"
"281470731121300","281470731121300","RES","DE","Germany","Hamburg","Hamburg","Telefonica Germany GmbH & Co. OHG","telefonica.de","ISP/MOB","6805","Telefonica Germany GmbH & Co.OHG","20","-","-","41"
"281470731277112","281470731277112","RES","DE","Germany","Nordrhein-Westfalen","Wesel","Telefonica Germany GmbH & Co. OHG","telefonica.de","ISP/MOB","6805","Telefonica Germany GmbH & Co.OHG","7","-","-","54"
"281470732074520","281470732074520","DCH","HK","Hong Kong","Hong Kong","Hong Kong","Arelion Sweden AB","arelion.com","DCH","1299","Arelion Sweden AB","1","-","-","3"
"281470732121756","281470732121812","DCH","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc.","1","-","-","3"
